Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 
  18 Year,41810,41397,40553,42068,43232,48341,47258,45663,49067,49987,51112,51752,52994,52511,51878,53966,50746,54059,48514,40478,41606,42817,40581,42965,42082,42180,40559,40228,38227,40992,39599,40747,44315,47528,45683,44188,41589,42333,45225,47508,51247,51518,54622,53972,54278
  19 Year,41612,41106,42879,43047,48448,47527,45783,49078,49988,51182,51699,53027,52546,51796,54032,51124,54597,48598,40551,41664,42788,40267,42977,42066,42234,40640,40344,38409,41205,39817,40902,44458,47652,45850,44944,41645,42298,45193,47453,51184,51474,54570,53909,54268,55744
  20 Year,41202,43160,43446,47963,47492,45880,49185,49982,51111,51683,52952,52605,51894,53958,51293,55084,49102,40797,41959,42965,40229,42478,42311,42337,40960,40706,38832,41724,40308,41429,44932,48214,46403,45520,42933,42342,45196,47424,51145,51453,54547,53882,54309,55787,56187
  21 Year,43083,43626,48170,46755,45740,49141,49961,51002,51652,52925,52494,51844,54074,51256,55333,49813,41423,42461,43581,40828,42785,41857,43054,41571,41303,39532,42444,41002,42336,45802,49094,47462,46624,43919,43998,45340,47494,51149,51467,54582,53924,54416,55900,56315,55814
  22 Year,43550,48455,47038,44834,49102,50013,50987,51534,52752,52445,51746,54011,51321,55265,50380,42556,43352,44330,41820,44153,42966,42956,42779,42239,40532,43588,41962,43308,46823,50178,48500,47883,45116,45136,47395,47651,51272,51502,54584,53977,54511,56001,56482,56032,54510
  23 Year,48691,47601,45387,48338,50210,51433,51758,53056,52673,52013,54216,51785,55756,50591,43546,45288,45971,43263,45616,44757,44372,43264,44082,41882,44924,43259,44549,48004,51325,49730,49051,46463,46470,48714,50151,51681,51922,54824,54187,54879,56364,56881,56542,55079,54104
  24 Year,48118,46224,49262,49830,51993,52612,53625,53498,52666,55061,52510,56644,51461,43999,46638,49012,45537,47634,46655,46248,44865,44857,44087,46607,44517,45946,49473,52726,50973,50286,47676,47846,50192,51370,54510,52545,55391,54518,55217,56796,57352,57106,55747,54867,51563
  25 Year,47078,50511,51256,51948,53526,54848,54602,53986,56188,53813,58016,52790,45178,47128,50448,49189,50240,48967,48084,46659,46394,45077,49057,46390,47121,50837,54190,52321,51550,48814,48971,51449,52545,55678,55224,56093,55199,55665,57203,57877,57710,56439,55728,52528,50425
  26 Year,51709,52905,53934,53792,56169,55958,55345,57887,55031,59717,54201,46571,48298,50941,50518,54295,51529,50386,48611,48047,46319,49817,48612,48809,51902,55451,53683,52908,50012,50045,52482,53513,56776,56279,58511,55733,56263,57581,58226,58185,56988,56391,53342,51312,49369
  27 Year,54213,55709,56042,56547,57135,56940,59374,56782,61112,55903,47884,49624,52070,50874,55591,55965,53072,50847,50059,48010,51179,49320,50718,53271,56383,54825,54252,51298,51230,53516,54392,57730,57252,59400,58014,56747,58007,58472,58443,57335,56845,53911,51964,50100,46378
  28 Year,57198,57980,58902,57514,58174,60921,58092,62843,57195,49340,50876,53515,52080,55912,57471,57310,53479,52352,49910,52938,50437,51304,55102,57498,55616,55412,52612,52516,54586,55224,58553,58061,60258,58864,58851,58349,58749,58654,57526,57172,54329,52443,50671,47017,44324
  29 Year,59338,60784,59948,58236,61993,59527,64218,58700,50462,52257,54682,53115,56956,57751,58611,57549,54794,51971,54995,52145,52384,55360,59231,56786,56139,53692,53780,55726,56104,59412,58865,61036,59659,59618,60340,59043,58921,57711,57393,54673,52835,51142,47545,44888,42299
  30 Year,62106,61854,60496,61866,60338,65537,59750,51609,53204,55717,53933,57984,58654,58809,58714,58492,54118,56990,53915,54136,56342,59211,58329,57048,54326,54722,56800,57089,60302,59647,61714,60428,60271,60981,60759,59170,57959,57605,54924,53189,51576,48012,45403,42811,43367
  31 Year,63098,62356,64199,60002,66176,60724,52459,54228,56530,54762,58699,59374,59450,58795,59486,57151,58616,55545,55774,57860,60104,58195,58343,55026,55312,57609,58093,61208,60510,62482,61114,60899,61563,61327,60911,58131,57886,55177,53438,51940,48417,45818,43242,43754,42663
  32 Year,63393,65929,62107,65456,61327,53182,54948,57228,55306,59378,59815,59911,59146,59548,58067,61530,56870,57288,59382,61430,59011,58002,56113,55833,58118,58878,62135,61303,63273,61760,61453,62022,61809,61468,59613,58171,55479,53691,52226,48793,46197,43624,44102,42990,40202
  33 Year,67065,63904,67676,60559,53850,55603,57809,55949,59811,60328,60177,59393,59863,58072,62374,59390,58541,60728,62794,60196,58683,55721,56724,58928,59333,62790,62200,64028,62478,61998,62501,62176,61874,60102,59700,55787,53952,52485,49083,46500,43932,44375,43233,40514,40411
  34 Year,64824,69584,62675,53177,56107,58400,56431,60326,60693,60434,59663,60208,58283,62331,60046,60677,61672,63902,61386,59792,56349,56175,59675,59855,63201,62868,64875,63145,62531,62937,62553,62207,60511,60144,57340,54270,52756,49365,46742,44183,44598,43396,40776,40709,27607
  35 Year,70473,64345,55025,55400,58702,56905,60668,61047,60675,59899,60336,58299,62454,60088,61169,63404,64606,62348,60716,57137,56668,58947,60472,63699,63256,65411,63867,63014,63361,62915,62533,60856,60488,57789,55643,53046,49689,47005,44428,44816,43574,41035,41000,27825,21959
  36 Year,65246,56688,57182,57756,57119,60997,61266,60864,60044,60485,58331,62510,60061,61069,63923,66309,62937,61544,57928,57383,59351,59692,64294,63474,65754,64389,63527,63785,63301,62846,61139,60819,58098,56023,54317,50003,47288,44664,44993,43726,41247,41253,28023,22119,26728
  37 Year,57589,58725,59570,56128,61119,61516,61025,60143,60522,58359,62419,59994,61185,63839,66634,64452,61949,58580,58081,59900,60020,63439,63922,66273,64756,63916,64172,63583,63164,61481,61115,58384,56299,54737,51185,47575,44923,45158,43817,41419,41481,28171,22257,26937,23380
  38 Year,59436,61057,57733,59856,61494,61159,60243,60537,58416,62443,59931,61035,63813,66522,64796,63168,58940,58611,60475,60549,63712,62980,66668,65069,64181,64465,63917,63426,61854,61357,58640,56547,54986,51568,48735,45152,45328,43921,41570,41682,28288,22338,27112,23534,24242
  39 Year,61831,59222,61471,60081,61081,60241,60518,58365,62341,59881,61012,63665,66457,64643,63502,59978,58811,60890,61003,64184,63157,65585,65397,64363,64674,64109,63726,62135,61585,58836,56707,55173,51817,49074,46113,45493,44022,41708,41832,28374,22406,27256,23653,24376,28387
  40 Year,59866,62958,61640,59496,60080,60509,58334,62251,59810,60833,63618,66265,64578,63290,60194,59698,61075,61242,64518,63532,65759,64314,64601,64662,64220,63882,62366,61790,59020,56854,55332,52004,49260,46358,46489,44131,41855,41963,28432,22441,27375,23754,24471,28492,29115
  41 Year,63449,63028,60949,58569,60227,58334,62114,59723,60665,63483,66062,64422,63171,59980,59921,61803,61296,64691,63814,65926,64430,63507,64838,64513,63969,62586,62011,59141,57036,55503,52135,49396,46513,46742,44896,41981,42103,28479,22437,27473,23804,24523,28549,29121,28237
  42 Year,63387,62254,59884,58580,58093,61968,59650,60591,63367,65902,64184,62993,59858,59778,62055,61834,64753,64006,66154,64674,63549,63743,64635,64049,62721,62130,59263,57116,55660,52248,49514,46619,46905,45112,42773,42245,28514,22413,27514,23831,24563,28572,29104,28219,23156
  43 Year,62465,60992,59861,56334,61660,59620,60449,63218,65813,63942,62811,59603,59601,61836,61946,65242,64009,66234,64770,63597,63718,63602,64097,62729,62185,59320,57237,55770,52352,49577,46703,47015,45237,42957,42946,28546,22402,27572,23856,24580,28592,29085,28177,23136,20952
  44 Year,61092,60941,57537,59791,59231,60332,63093,65701,63790,62595,59348,59298,61615,61730,65325,64406,66230,64876,63761,63743,63601,63116,62692,62043,59325,57322,55879,52442,49618,46814,47099,45284,43086,43041,28959,22365,27628,23878,24599,28595,29045,28105,23103,20817,22629
  45 Year,61141,58562,60965,57552,59925,62896,65570,63668,62487,59147,59055,61310,61505,65165,64448,66602,64807,63708,63819,63612,63095,61721,62065,59466,57317,55937,52541,49659,46857,47174,45404,43148,43105,29082,22666,27665,23870,24591,28578,28971,28022,23037,20680,22422,22981
  46 Year,58666,61938,58639,58103,62527,65365,63406,62324,58992,58817,60973,61196,64870,64244,66596,65066,63567,63860,63600,63065,61682,61099,59431,57278,55905,52566,49687,46899,47203,45451,43191,43134,29144,22785,28045,23885,24595,28570,28890,27923,22988,20523,22192,23020,20448
  47 Year,61956,59497,59117,60627,64961,63186,62097,58744,58594,60799,60959,64553,64046,66359,65087,63686,63699,63524,63043,61639,61053,58617,57211,55838,52541,49689,46928,47215,45466,43201,43111,29155,22845,28082,24139,24610,28557,28805,27825,22906,20356,21939,23042,20506,20546
  48 Year,59474,60074,61591,63013,62836,61900,58577,58402,60596,60722,64217,63652,66015,64825,63652,63731,63323,62928,61578,60883,58502,56385,55791,52335,49610,46895,47221,45474,43182,43088,29187,22838,28080,24188,24846,28520,28725,27729,22822,20162,21680,23068,20556,20516,19501
  49 Year,59987,62444,64005,60830,61491,58335,58188,60319,60514,63928,63329,65625,64489,63398,63676,63412,62682,61532,60818,58347,56339,54969,52240,49652,46828,47196,45487,43178,43061,29172,22870,28057,24211,24868,28743,28612,27630,22736,19967,21381,23084,20599,20454,19476,19486
  50 Year,62352,64841,61668,59488,57874,57863,60076,60219,63657,63010,65309,64122,63029,63392,63241,62639,61232,60666,58245,56157,54801,50710,49556,46693,47090,45413,43101,42995,29119,22886,28002,24197,24865,28713,28746,27484,22634,19747,21091,23045,20625,20369,19393,19368,19935
  51 Year,64758,62362,60268,55994,57508,59799,59890,63296,62675,64879,63745,62637,63020,62976,62271,61200,60432,58168,56055,54595,50691,48097,46552,46919,45306,43007,42890,29059,22853,27948,24164,24842,28646,28695,27549,22517,19521,20812,23023,20638,20291,19321,19247,19792,19336
  52 Year,62267,61005,56670,55655,59381,59594,63018,62380,64597,63350,62247,62603,62595,62010,60582,60283,57911,55869,54435,50524,48076,45205,46767,45024,42836,42772,28985,22802,27863,24138,24771,28590,28593,27476,22554,19278,20510,22980,20665,20210,19275,19129,19671,19234,18413
