Year,Detailed_Occupation,Emp_Res
2011,"11 Legislators, Senior Officials & Chief Executives",80100
2011,12 Administrative & Commercial Managers,117000
2011,13 Production & Specialised Services Managers,111300
2011,"14 Hospitality, Retail & Related Services Managers",58600
2011,21 Science & Engineering Professionals,97700
2011,22 Health Professionals,30800
2011,23 Teaching & Training Professionals,52100
2011,24 Business & Administration Professionals,106300
2011,25 Information & Communications Technology Professionals,37700
2011,"26 Legal, Social, Religious & Cultural Professionals",23800
2011,31 Physical & Engineering Science Associate Professionals,97200
2011,32 Health Associate Professionals,10900
2011,33 Business & Administration Associate Professionals,157000
2011,"34 Legal, Social, Cultural & Related Associate Professionals",21100
2011,35 Information & Communications Technicians,14200
2011,36 Teaching Associate Professionals,35300
2011,39 Other Associate Professionals Not Elsewhere Classified,1300
2011,40 Clerical Supervisors,5000
2011,41 General & Keyboard Clerks,119200
2011,42 Customer Services Officers & Clerks,45500
2011,43 Numerical & Material-Recording Clerks,70200
2011,44 Other Clerical Support Workers,9400
2011,51 Personal Service Workers,61300
2011,52 Sales Workers,127100
2011,53 Personal Care Workers,9200
2011,54 Protective Services Workers,35800
2011,59 Service Workers Not Elsewhere Classified,1500
2011,61 - 62 Agricultural & Fishery Workers,900
2011,"71 Building & Related Trades Workers, Excluding Electricians",31000
2011,"72 Metal, Machinery & Related Trades Workers",26300
2011,"73 Precision, Handicraft, Printing & Related Trades Workers",3500
2011,74 Electrical & Electronic Trades Workers,16500
2011,"75 Food Processing, Woodworking, Garment, Leather & Other Craft & Related Trades Workers",12200
2011,81 Stationary Plant & Machine Operators,22800
2011,82 Assemblers & Quality Checkers,19000
2011,83 Drivers & Mobile Machinery Operators,115800
2011,91 Cleaners & Related Workers,60500
2011,"92 Agricultural, Fishery & Related Labourers",2800
2011,93 Labourers & Related Workers,24400
2011,94 Food Preparation & Kitchen Assistants,42100
2011,"96 Waste Collection, Recycling & Material Recovery Workers & Other Elementary Workers",15800
2011,X1 - X5 Workers Not Elsewhere Classified,68700
2012,"11 Legislators, Senior Officials & Chief Executives",83300
2012,12 Administrative & Commercial Managers,118100
2012,13 Production & Specialised Services Managers,105100
2012,"14 Hospitality, Retail & Related Services Managers",52400
2012,21 Science & Engineering Professionals,100300
2012,22 Health Professionals,32400
2012,23 Teaching & Training Professionals,54400
2012,24 Business & Administration Professionals,122600
2012,25 Information & Communications Technology Professionals,37400
2012,"26 Legal, Social, Religious & Cultural Professionals",22900
2012,31 Physical & Engineering Science Associate Professionals,100300
2012,32 Health Associate Professionals,12500
2012,33 Business & Administration Associate Professionals,150700
2012,"34 Legal, Social, Cultural & Related Associate Professionals",23600
2012,35 Information & Communications Technicians,14000
2012,36 Teaching Associate Professionals,38500
2012,39 Other Associate Professionals Not Elsewhere Classified,800
2012,40 Clerical Supervisors,5600
2012,41 General & Keyboard Clerks,133500
2012,42 Customer Services Officers & Clerks,47700
2012,43 Numerical & Material-Recording Clerks,73400
2012,44 Other Clerical Support Workers,5400
2012,51 Personal Service Workers,66500
2012,52 Sales Workers,131700
2012,53 Personal Care Workers,11300
2012,54 Protective Services Workers,41900
2012,59 Service Workers Not Elsewhere Classified,1000
2012,61 - 62 Agricultural & Fishery Workers,1500
2012,"71 Building & Related Trades Workers, Excluding Electricians",34100
2012,"72 Metal, Machinery & Related Trades Workers",24400
2012,"73 Precision, Handicraft, Printing & Related Trades Workers",3700
2012,74 Electrical & Electronic Trades Workers,16100
2012,"75 Food Processing, Woodworking, Garment, Leather & Other Craft & Related Trades Workers",12400
2012,81 Stationary Plant & Machine Operators,20200
2012,82 Assemblers & Quality Checkers,18800
2012,83 Drivers & Mobile Machinery Operators,109700
2012,91 Cleaners & Related Workers,62700
2012,"92 Agricultural, Fishery & Related Labourers",3100
2012,93 Labourers & Related Workers,24800
2012,94 Food Preparation & Kitchen Assistants,37700
2012,"96 Waste Collection, Recycling & Material Recovery Workers & Other Elementary Workers",17000
2012,X1 - X5 Workers Not Elsewhere Classified,67200
2013,"11 Legislators, Senior Officials & Chief Executives",82400
2013,12 Administrative & Commercial Managers,110600
2013,13 Production & Specialised Services Managers,113100
2013,"14 Hospitality, Retail & Related Services Managers",54400
2013,21 Science & Engineering Professionals,101200
2013,22 Health Professionals,34200
2013,23 Teaching & Training Professionals,56900
2013,24 Business & Administration Professionals,115500
2013,25 Information & Communications Technology Professionals,37900
2013,"26 Legal, Social, Religious & Cultural Professionals",26200
2013,31 Physical & Engineering Science Associate Professionals,100500
2013,32 Health Associate Professionals,10100
2013,33 Business & Administration Associate Professionals,166300
2013,"34 Legal, Social, Cultural & Related Associate Professionals",23300
2013,35 Information & Communications Technicians,17100
2013,36 Teaching Associate Professionals,39900
2013,39 Other Associate Professionals Not Elsewhere Classified,2200
2013,40 Clerical Supervisors,4400
2013,41 General & Keyboard Clerks,136000
2013,42 Customer Services Officers & Clerks,47500
2013,43 Numerical & Material-Recording Clerks,73900
2013,44 Other Clerical Support Workers,9900
2013,51 Personal Service Workers,68000
2013,52 Sales Workers,125400
2013,53 Personal Care Workers,10800
2013,54 Protective Services Workers,39000
2013,59 Service Workers Not Elsewhere Classified,1400
2013,61 - 62 Agricultural & Fishery Workers,800
2013,"71 Building & Related Trades Workers, Excluding Electricians",29900
2013,"72 Metal, Machinery & Related Trades Workers",22700
2013,"73 Precision, Handicraft, Printing & Related Trades Workers",3300
2013,74 Electrical & Electronic Trades Workers,14000
2013,"75 Food Processing, Woodworking, Garment, Leather & Other Craft & Related Trades Workers",12200
2013,81 Stationary Plant & Machine Operators,20200
2013,82 Assemblers & Quality Checkers,15200
2013,83 Drivers & Mobile Machinery Operators,111500
2013,91 Cleaners & Related Workers,59000
2013,"92 Agricultural, Fishery & Related Labourers",2800
2013,93 Labourers & Related Workers,24900
2013,94 Food Preparation & Kitchen Assistants,44800
2013,"96 Waste Collection, Recycling & Material Recovery Workers & Other Elementary Workers",18600
2013,X1 - X5 Workers Not Elsewhere Classified,67900
2014,"11 Legislators, Senior Officials & Chief Executives",77100
2014,12 Administrative & Commercial Managers,114000
2014,13 Production & Specialised Services Managers,106800
2014,"14 Hospitality, Retail & Related Services Managers",53300
2014,21 Science & Engineering Professionals,103000
2014,22 Health Professionals,36700
2014,23 Teaching & Training Professionals,55800
2014,24 Business & Administration Professionals,124400
2014,25 Information & Communications Technology Professionals,39000
2014,"26 Legal, Social, Religious & Cultural Professionals",24300
2014,31 Physical & Engineering Science Associate Professionals,91100
2014,32 Health Associate Professionals,12000
2014,33 Business & Administration Associate Professionals,203400
2014,"34 Legal, Social, Cultural & Related Associate Professionals",24600
2014,35 Information & Communications Technicians,19100
2014,36 Teaching Associate Professionals,39500
2014,39 Other Associate Professionals Not Elsewhere Classified,1800
2014,40 Clerical Supervisors,5000
2014,41 General & Keyboard Clerks,131100
2014,42 Customer Services Officers & Clerks,46800
2014,43 Numerical & Material-Recording Clerks,75500
2014,44 Other Clerical Support Workers,10000
2014,51 Personal Service Workers,67100
2014,52 Sales Workers,122800
2014,53 Personal Care Workers,13800
2014,54 Protective Services Workers,38400
2014,59 Service Workers Not Elsewhere Classified,2200
