wealth - salary,wealth - investment gain,wealth - rental income,wealth - business revenue,wealth - inheritance,wealth - others,fund - salary,fund - investment gain,fund - rental income,fund - business revenue,fund - inheritance,fund - others,Age,Occupation,Industry,speed_of_payment,Income,Adjusted Income,Annual Income,Adjusted Annual Income,Income Multiplier Based on Age,Wealth Indicator,Net Worth,Proposed Subscription Amount,Net Worth / Total Commitment,Income / Total Commitment
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,78,24 Business & Administration Professionals,Business & Administration,44,7221,0,86652,0,2,0,173304,4000,43.326,21.663
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,51,33 Business & Administration Associate Professionals,Business & Administration,38,5487,5487,65844,65844,4,50000,313376,15000,20.891733333333335,4.3896
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,54,43 Numerical & Material-Recording Clerks,Clerical Support,46,4856,4856,58272,58272,4,50000,283088,13000,21.776,4.482461538461538
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,35,"14 Hospitality, Retail & Related Services Managers",Hospitality & Retail,55,8584,8584,103008,103008,2,50000,256016,17000,15.059764705882353,6.059294117647059
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,23,42 Customer Services Officers & Clerks,Customer Service,37,4865,4865,58380,58380,1.5,50000,137570,11000,12.506363636363636,5.307272727272728
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,58,53 Personal Care Workers,Personal Care,37,3073,3073,36876,36876,4,50000,197504,8000,24.688,4.6095
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,74,12 Administrative & Commercial Managers,Management,55,11514,0,138168,0,2,0,276336,7000,39.476571428571425,19.738285714285713
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,67,31 Physical & Engineering Science Associate Professionals,Physical & Engineering Science,47,7126.740000000001,3563.3700000000003,85520.88,42760.44,3.5,0,299323.08,10000,29.932308000000003,8.552088000000001
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,67,32 Health Associate Professionals,Health,35,8985.83,4492.915,107829.96,53914.98,3.5,50000,427404.86000000004,14000,30.528918571428573,7.702140000000001
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,41,23 Teaching & Training Professionals,Education,45,8679.09,8679.09,104149.08,104149.08,3,50000,362447.24,21000,17.25939238095238,4.95948
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,28,82 Assemblers & Quality Checkers,Manufacturing,35,3787.7,3787.7,45452.4,45452.4,1.5,50000,118178.6,9000,13.130955555555555,5.0502666666666665
