wealth - salary,wealth - investment gain,wealth - rental income,wealth - business revenue,wealth - inheritance,wealth - others,fund - salary,fund - investment gain,fund - rental income,fund - business revenue,fund - inheritance,fund - others,Age,Occupation,Industry,speed_of_payment,Income,Adjusted Income,Annual Income,Adjusted Annual Income,Income Multiplier Based on Age,Wealth Indicator,Net Worth,Proposed Subscription Amount,Net Worth / Total Commitment,Income / Total Commitment,Risk Score,Will Default
False,True,False,False,False,False,False,False,True,False,False,False,43,12 Administrative & Commercial Managers,Management,47,12594.0,12594.0,151128.0,151128.0,3.0,50000,503384.0,29000,17.35806896551724,5.211310344827586,187,True
False,True,False,False,False,False,False,False,False,True,False,False,60,21 Science & Engineering Professionals,Science & Engineering,39,10873.2,10873.2,130478.4,130478.4,3.5,50000,506674.4,20000,25.33372,6.5239199999999995,190,True
False,True,False,False,False,False,True,False,False,False,False,False,55,21 Science & Engineering Professionals,Science & Engineering,32,9886.25,9886.25,118635.0,118635.0,4.0,50000,524540.0,24000,21.855833333333333,4.943125,190,True
False,True,False,False,False,False,True,False,False,False,False,False,60,21 Science & Engineering Professionals,Science & Engineering,25,8346.0,8346.0,100152.0,100152.0,3.5,50000,400532.0,16000,25.03325,6.2595,193,True
False,True,False,False,False,False,False,True,False,False,False,False,47,21 Science & Engineering Professionals,Science & Engineering,33,9576.45,9576.45,114917.4,114917.4,3.0,50000,394752.1999999999,21000,18.79772380952381,5.472257142857143,195,True
False,True,False,False,False,False,True,False,False,False,False,False,49,21 Science & Engineering Professionals,Science & Engineering,38,10047.17,10047.17,120566.04,120566.04,3.0,50000,411698.12,21000,19.60467238095238,5.7412399999999995,195,True
False,False,True,False,False,False,False,False,False,True,False,False,56,21 Science & Engineering Professionals,Science & Engineering,16,7095.06,7095.06,85140.72,85140.72,4.0,50000,390562.88,17000,22.97428705882353,5.008277647058824,196,True
False,True,False,False,False,False,False,False,False,True,False,False,51,21 Science & Engineering Professionals,Science & Engineering,13,6455.349999999999,6455.349999999999,77464.2,77464.2,4.0,50000,359856.8,18000,19.99204444444444,4.303566666666667,196,True
False,False,True,False,False,False,True,False,False,False,False,False,60,21 Science & Engineering Professionals,Science & Engineering,48,11619.4,11619.4,139432.8,139432.8,3.5,50000,538014.7999999999,22000,24.45521818181818,6.337854545454545,197,True
False,False,True,False,False,False,True,False,False,False,False,False,74,21 Science & Engineering Professionals,Science & Engineering,28,9031.68,0.0,108380.16,0.0,2.0,50000,266760.32,7000,38.10861714285714,15.48288,198,True
False,True,False,False,False,False,False,False,False,False,False,True,61,31 Physical & Engineering Science Associate Professionals,Physical & Engineering Science,22,11425.82,11425.82,137109.84,137109.84,3.5,50000,529884.44,21000,25.23259238095238,6.52904,198,True
False,True,False,False,False,False,True,False,False,False,False,False,57,23 Teaching & Training Professionals,Education,31,9512.3,9512.3,114147.6,114147.6,4.0,50000,506590.4,22000,23.026836363636363,5.188527272727273,200,True
False,True,False,False,False,False,False,False,False,False,False,True,45,12 Administrative & Commercial Managers,Management,37,8935.0,8935.0,107220.0,107220.0,3.0,50000,371660.0,20000,18.583,5.361,200,True
False,True,False,False,False,False,False,False,False,False,False,True,57,31 Physical & Engineering Science Associate Professionals,Physical & Engineering Science,34,10760.71,10760.71,129128.52000000002,129128.52000000002,4.0,50000,566514.0800000001,24000,23.604753333333335,5.380355000000001,200,True
False,False,True,False,False,False,False,False,False,False,True,False,63,12 Administrative & Commercial Managers,Management,32,11201.0,11201.0,134412.0,134412.0,3.5,50000,520442.0,19000,27.39168421052631,7.074315789473684,200,True
True,False,False,False,False,False,True,False,False,False,False,False,46,21 Science & Engineering Professionals,Science & Engineering,19,9325.24,9325.24,111902.88,111902.88,3.0,0,335708.64,18000,18.65048,6.216826666666667,201,True
False,True,False,False,False,False,False,False,True,False,False,False,44,21 Science & Engineering Professionals,Science & Engineering,55,9878.1,9878.1,118537.2,118537.2,3.0,50000,405611.6,23000,17.63528695652174,5.153791304347826,202,True
False,False,True,False,False,False,False,False,False,False,False,True,53,12 Administrative & Commercial Managers,Management,59,9942.0,9942.0,119304.0,119304.0,4.0,50000,527216.0,25000,21.08864,4.77216,202,True
False,True,False,False,False,False,True,False,False,False,False,False,58,12 Administrative & Commercial Managers,Management,44,11560.0,11560.0,138720.0,138720.0,4.0,50000,604880.0,25000,24.1952,5.5488,202,True
False,True,False,False,False,False,True,False,False,False,False,False,60,12 Administrative & Commercial Managers,Management,48,11301.0,11301.0,135612.0,135612.0,3.5,50000,524642.0,21000,24.98295238095238,6.457714285714285,202,True
False,False,True,False,False,False,True,False,False,False,False,False,60,12 Administrative & Commercial Managers,Management,46,10968.0,10968.0,131616.0,131616.0,3.5,50000,510656.0,20000,25.5328,6.5808,202,True
False,True,False,False,False,False,False,False,False,False,False,True,72,12 Administrative & Commercial Managers,Management,23,9024.0,0.0,108288.0,0.0,2.0,50000,266576.0,7000,38.08228571428572,15.469714285714286,203,True
False,True,False,False,False,False,False,False,True,False,False,False,58,23 Teaching & Training Professionals,Education,24,9066.24,9066.24,108794.88,108794.88,4.0,50000,485179.52,20000,24.258976,5.439744,203,True
False,False,True,False,False,False,True,False,False,False,False,False,67,12 Administrative & Commercial Managers,Management,24,8875.0,4437.5,106500.0,53250.0,3.5,50000,422750.0,14000,30.196428571428573,7.607142857142857,203,True
False,False,True,False,False,False,False,True,False,False,False,False,58,24 Business & Administration Professionals,Business & Administration,25,8954.0,8954.0,107448.0,107448.0,4.0,50000,479792.0,20000,23.9896,5.3724,203,True
False,True,False,False,False,False,True,False,False,False,False,False,62,24 Business & Administration Professionals,Business & Administration,35,11795.0,11795.0,141540.0,141540.0,3.5,50000,545390.0,21000,25.97095238095238,6.74,205,True
False,True,False,False,False,False,True,False,False,False,False,False,46,21 Science & Engineering Professionals,Science & Engineering,32,7281.32,7281.32,87375.84,87375.84,3.0,50000,312127.52,17000,18.360442352941178,5.139755294117647,205,True
False,True,False,False,False,False,True,False,False,False,False,False,77,21 Science & Engineering Professionals,Science & Engineering,38,8869.98,0.0,106439.76,0.0,2.0,50000,262879.52,6000,43.813253333333336,17.73996,205,True
False,True,False,False,False,False,True,False,False,False,False,False,60,12 Administrative & Commercial Managers,Management,31,9742.0,9742.0,116904.0,116904.0,3.5,50000,459164.0,18000,25.50911111111111,6.494666666666666,205,True
False,False,True,False,False,False,False,True,False,False,False,False,48,21 Science & Engineering Professionals,Science & Engineering,35,7076.46,7076.46,84917.52,84917.52,3.0,50000,304752.56,16000,19.047035,5.307345000000001,205,True
False,True,False,False,False,False,True,False,False,False,False,False,43,24 Business & Administration Professionals,Business & Administration,34,8718.0,8718.0,104616.0,104616.0,3.0,50000,363848.0,21000,17.326095238095238,4.981714285714285,205,True
False,True,False,False,False,False,False,False,False,False,True,False,41,24 Business & Administration Professionals,Business & Administration,32,9808.0,9808.0,117696.0,117696.0,3.0,50000,403088.0,24000,16.795333333333332,4.904,205,True
False,True,False,False,False,False,True,False,False,False,False,False,43,24 Business & Administration Professionals,Business & Administration,39,9468.0,9468.0,113616.0,113616.0,3.0,50000,390848.0,22000,17.765818181818183,5.164363636363636,205,True
False,False,False,True,False,False,True,False,False,False,False,False,42,21 Science & Engineering Professionals,Science & Engineering,33,9450.56,9450.56,113406.72000000002,113406.72000000002,3.0,50000,390220.16,23000,16.96609391304348,4.930726957,205,True
False,False,True,False,False,False,True,False,False,False,False,False,51,22 Health Professionals,Unknown Industry,19,5949.57,5949.57,71394.84,71394.84,4.0,50000,335579.36,16000,20.97371,4.4621775,206,True
False,False,False,True,False,False,False,False,True,False,False,False,72,12 Administrative & Commercial Managers,Management,20,9082.0,0.0,108984.0,0.0,2.0,50000,267968.0,8000,33.496,13.623,206,True
False,True,False,False,False,False,True,False,False,False,False,False,53,31 Physical & Engineering Science Associate Professionals,Physical & Engineering Science,41,10942.08,10942.08,131304.96,131304.96,4.0,50000,575219.84,27000,21.304438518518516,4.863146666666666,207,True
False,True,False,False,False,False,False,False,False,True,False,False,58,21 Science & Engineering Professionals,Science & Engineering,45,8928.0,8928.0,107136.0,107136.0,4.0,50000,478544.0,20000,23.9272,5.3568,207,True
False,True,False,False,False,False,False,False,False,True,False,False,58,31 Physical & Engineering Science Associate Professionals,Physical & Engineering Science,42,11306.24,11306.24,135674.88,135674.88,4.0,50000,592699.52,25000,23.7079808,5.4269952,207,True
False,True,False,False,False,False,True,False,False,False,False,False,55,24 Business & Administration Professionals,Business & Administration,51,10520.0,10520.0,126240.0,126240.0,4.0,50000,554960.0,25000,22.1984,5.0496,207,True
False,False,True,False,False,False,True,False,False,False,False,False,52,24 Business & Administration Professionals,Business & Administration,54,10734.0,10734.0,128808.0,128808.0,4.0,50000,565232.0,27000,20.93451851851852,4.770666666666667,207,True
False,False,True,False,False,False,True,False,False,False,False,False,48,54 Protective Services Workers,Unknown Industry,28,6953.74,6953.74,83444.88,83444.88,3.0,50000,300334.64,16000,18.770915,5.215305,208,True
