wealth - salary,wealth - investment gain,wealth - rental income,wealth - business revenue,wealth - inheritance,wealth - others,fund - salary,fund - investment gain,fund - rental income,fund - business revenue,fund - inheritance,fund - others,Age,Occupation,speed_of_payment
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000.0,1000,1000.0
2,2,2,2,2,2,2,2,2,2,2,2,,39,
False,False,False,False,False,False,False,False,False,False,False,False,,33 Business & Administration Associate Professionals,
668,599,856,901,925,929,500,900,900,900,900,900,,111,
,,,,,,,,,,,,49.445,,39.674
,,,,,,,,,,,,17.876536173027077,,9.797740541559556
,,,,,,,,,,,,18.0,,7.0
,,,,,,,,,,,,35.0,,33.0
,,,,,,,,,,,,49.5,,40.0
,,,,,,,,,,,,64.0,,46.0
,,,,,,,,,,,,89.0,,78.0
