wealth - salary,wealth - investment gain,wealth - rental income,wealth - business revenue,wealth - inheritance,wealth - others,fund - salary,fund - investment gain,fund - rental income,fund - business revenue,fund - inheritance,fund - others,Age,Occupation,speed_of_payment
True,False,False,False,False,False,False,False,False,False,True,False,78,24 Business & Administration Professionals,44
False,False,True,False,False,False,False,False,True,False,False,False,51,33 Business & Administration Associate Professionals,38
False,True,False,False,False,False,True,False,False,False,False,False,54,43 Numerical & Material-Recording Clerks,46
False,True,False,False,False,False,False,False,True,False,False,False,35,"14 Hospitality, Retail & Related Services Managers",55
False,False,True,False,False,False,True,False,False,False,False,False,23,42 Customer Services Officers & Clerks,37
False,True,False,False,False,False,True,False,False,False,False,False,58,53 Personal Care Workers,37
True,False,False,False,False,False,False,False,False,False,True,False,74,12 Administrative & Commercial Managers,55
True,False,False,False,False,False,False,False,False,False,True,False,67,31 Physical & Engineering Science Associate Professionals,47
False,False,False,False,False,True,False,False,False,True,False,False,67,32 Health Associate Professionals,35
False,False,False,False,False,True,False,False,False,False,False,True,41,23 Teaching & Training Professionals,45
False,True,False,False,False,False,True,False,False,False,False,False,28,82 Assemblers & Quality Checkers,35
True,False,False,False,False,False,True,False,False,False,False,False,44,21 Science & Engineering Professionals,35
True,False,False,False,False,False,True,False,False,False,False,False,58,22 Health Professionals,42
False,False,False,True,False,False,False,False,True,False,False,False,72,12 Administrative & Commercial Managers,20
False,False,True,False,False,False,False,False,True,False,False,False,18,41 General & Keyboard Clerks,22
True,False,False,False,False,False,False,False,False,True,False,False,74,"71 Building & Related Trades Workers, Excluding Electricians",34
True,False,False,False,False,False,True,False,False,False,False,False,84,24 Business & Administration Professionals,29
False,True,False,False,False,False,True,False,False,False,False,False,73,23 Teaching & Training Professionals,43
False,False,False,True,False,False,True,False,False,False,False,False,43,24 Business & Administration Professionals,30
True,False,False,False,False,False,False,True,False,False,False,False,31,24 Business & Administration Professionals,25
False,False,False,False,False,True,True,False,False,False,False,False,68,33 Business & Administration Associate Professionals,54
False,False,True,False,False,False,False,False,True,False,False,False,72,41 General & Keyboard Clerks,37
False,True,False,False,False,False,False,False,False,True,False,False,64,54 Protective Services Workers,40
False,True,False,False,False,False,True,False,False,False,False,False,41,40 Clerical Supervisors,25
False,False,True,False,False,False,False,False,False,False,True,False,64,22 Health Professionals,34
False,False,False,True,False,False,False,False,False,True,False,False,47,24 Business & Administration Professionals,41
False,True,False,False,False,False,True,False,False,False,False,False,82,33 Business & Administration Associate Professionals,28
False,False,True,False,False,False,False,True,False,False,False,False,49,X1 - X5 Workers Not Elsewhere Classified,43
False,False,False,True,False,False,False,True,False,False,False,False,38,52 Sales Workers,33
False,True,False,False,False,False,False,False,False,False,True,False,48,52 Sales Workers,37
True,False,False,False,False,False,False,False,False,False,False,True,81,"34 Legal, Social, Cultural & Related Associate Professionals",33
False,False,True,False,False,False,True,False,False,False,False,False,38,21 Science & Engineering Professionals,58
False,True,False,False,False,False,True,False,False,False,False,False,72,83 Drivers & Mobile Machinery Operators,39
True,False,False,False,False,False,False,False,False,True,False,False,83,21 Science & Engineering Professionals,29
False,False,True,False,False,False,True,False,False,False,False,False,60,21 Science & Engineering Professionals,48
False,True,False,False,False,False,False,False,False,False,True,False,48,51 Personal Service Workers,27
True,False,False,False,False,False,True,False,False,False,False,False,19,33 Business & Administration Associate Professionals,42
True,False,False,False,False,False,False,False,False,False,True,False,62,33 Business & Administration Associate Professionals,20
False,True,False,False,False,False,True,False,False,False,False,False,27,83 Drivers & Mobile Machinery Operators,26
False,True,False,False,False,False,False,False,False,False,False,True,49,13 Production & Specialised Services Managers,41
False,True,False,False,False,False,False,False,True,False,False,False,64,83 Drivers & Mobile Machinery Operators,47
True,False,False,False,False,False,False,False,False,False,True,False,75,83 Drivers & Mobile Machinery Operators,41
False,False,False,False,True,False,False,False,False,False,False,True,40,91 Cleaners & Related Workers,38
False,True,False,False,False,False,False,False,False,False,False,True,80,"11 Legislators, Senior Officials & Chief Executives",36
True,False,False,False,False,False,True,False,False,False,False,False,47,12 Administrative & Commercial Managers,25
True,False,False,False,False,False,True,False,False,False,False,False,34,51 Personal Service Workers,32
True,False,False,False,False,False,True,False,False,False,False,False,50,91 Cleaners & Related Workers,35
False,True,False,False,False,False,False,True,False,False,False,False,62,33 Business & Administration Associate Professionals,50
False,True,False,False,False,False,False,False,False,False,True,False,21,43 Numerical & Material-Recording Clerks,43
False,False,True,False,False,False,False,False,True,False,False,False,53,83 Drivers & Mobile Machinery Operators,22
True,False,False,False,False,False,False,False,False,True,False,False,78,83 Drivers & Mobile Machinery Operators,43
False,False,False,True,False,False,True,False,False,False,False,False,59,33 Business & Administration Associate Professionals,36
False,True,False,False,False,False,True,False,False,False,False,False,46,52 Sales Workers,33
False,False,False,True,False,False,True,False,False,False,False,False,46,"96 Waste Collection, Recycling & Material Recovery Workers & Other Elementary Workers",46
True,False,False,False,False,False,True,False,False,False,False,False,78,43 Numerical & Material-Recording Clerks,50
False,True,False,False,False,False,False,False,False,False,False,True,43,21 Science & Engineering Professionals,49
False,True,False,False,False,False,False,False,True,False,False,False,18,41 General & Keyboard Clerks,31
False,False,False,False,True,False,False,False,False,False,False,True,65,41 General & Keyboard Clerks,36
False,False,False,True,False,False,False,False,False,False,False,True,23,25 Information & Communications Technology Professionals,43
False,False,True,False,False,False,True,False,False,False,False,False,45,24 Business & Administration Professionals,49
False,True,False,False,False,False,True,False,False,False,False,False,41,33 Business & Administration Associate Professionals,35
True,False,False,False,False,False,True,False,False,False,False,False,47,24 Business & Administration Professionals,38
False,True,False,False,False,False,True,False,False,False,False,False,23,21 Science & Engineering Professionals,28
False,False,True,False,False,False,True,False,False,False,False,False,74,21 Science & Engineering Professionals,28
False,False,True,False,False,False,True,False,False,False,False,False,56,24 Business & Administration Professionals,48
False,False,False,False,True,False,False,False,False,False,True,False,77,31 Physical & Engineering Science Associate Professionals,53
False,True,False,False,False,False,True,False,False,False,False,False,43,33 Business & Administration Associate Professionals,39
False,True,False,False,False,False,False,False,True,False,False,False,36,X1 - X5 Workers Not Elsewhere Classified,50
True,False,False,False,False,False,False,False,False,True,False,False,47,23 Teaching & Training Professionals,43
False,False,True,False,False,False,True,False,False,False,False,False,37,13 Production & Specialised Services Managers,33
False,True,False,False,False,False,False,False,False,False,False,True,56,X1 - X5 Workers Not Elsewhere Classified,43
False,True,False,False,False,False,True,False,False,False,False,False,67,33 Business & Administration Associate Professionals,55
True,False,False,False,False,False,False,False,False,False,False,True,48,91 Cleaners & Related Workers,39
False,False,True,False,False,False,True,False,False,False,False,False,24,12 Administrative & Commercial Managers,55
False,True,False,False,False,False,False,False,False,True,False,False,51,21 Science & Engineering Professionals,13
False,True,False,False,False,False,False,False,False,True,False,False,64,94 Food Preparation & Kitchen Assistants,48
False,True,False,False,False,False,False,False,True,False,False,False,68,"71 Building & Related Trades Workers, Excluding Electricians",40
True,False,False,False,False,False,True,False,False,False,False,False,27,X1 - X5 Workers Not Elsewhere Classified,37
False,False,False,True,False,False,True,False,False,False,False,False,51,33 Business & Administration Associate Professionals,40
False,False,False,False,False,True,False,False,False,False,False,True,30,33 Business & Administration Associate Professionals,20
False,False,False,False,False,True,False,False,False,False,False,True,44,83 Drivers & Mobile Machinery Operators,37
False,False,False,False,False,True,False,True,False,False,False,False,28,33 Business & Administration Associate Professionals,43
False,False,True,False,False,False,True,False,False,False,False,False,55,42 Customer Services Officers & Clerks,54
False,False,False,False,True,False,True,False,False,False,False,False,40,35 Information & Communications Technicians,34
False,False,True,False,False,False,True,False,False,False,False,False,65,52 Sales Workers,31
True,False,False,False,False,False,False,False,False,False,False,True,86,32 Health Associate Professionals,34
False,True,False,False,False,False,False,False,False,False,False,True,68,52 Sales Workers,49
True,False,False,False,False,False,True,False,False,False,False,False,69,23 Teaching & Training Professionals,43
False,True,False,False,False,False,True,False,False,False,False,False,34,25 Information & Communications Technology Professionals,34
False,True,False,False,False,False,True,False,False,False,False,False,41,33 Business & Administration Associate Professionals,45
False,False,False,True,False,False,False,False,False,False,False,True,43,12 Administrative & Commercial Managers,40
False,True,False,False,False,False,True,False,False,False,False,False,61,24 Business & Administration Professionals,49
False,False,False,True,False,False,False,False,False,True,False,False,48,74 Electrical & Electronic Trades Workers,32
False,False,False,True,False,False,False,True,False,False,False,False,22,13 Production & Specialised Services Managers,36
True,False,False,False,False,False,True,False,False,False,False,False,72,33 Business & Administration Associate Professionals,36
True,False,False,False,False,False,False,False,False,True,False,False,53,23 Teaching & Training Professionals,25
False,True,False,False,False,False,True,False,False,False,False,False,70,33 Business & Administration Associate Professionals,42
False,False,True,False,False,False,True,False,False,False,False,False,37,13 Production & Specialised Services Managers,42
False,True,False,False,False,False,False,True,False,False,False,False,62,24 Business & Administration Professionals,40
False,True,False,False,False,False,False,False,False,False,True,False,62,91 Cleaners & Related Workers,37
False,False,False,False,True,False,True,False,False,False,False,False,37,25 Information & Communications Technology Professionals,25
False,False,True,False,False,False,False,False,False,False,False,True,59,41 General & Keyboard Clerks,35
False,True,False,False,False,False,False,False,False,True,False,False,55,13 Production & Specialised Services Managers,36
False,False,True,False,False,False,True,False,False,False,False,False,26,33 Business & Administration Associate Professionals,31
False,True,False,False,False,False,True,False,False,False,False,False,26,"71 Building & Related Trades Workers, Excluding Electricians",38
False,True,False,False,False,False,False,False,False,False,False,True,30,43 Numerical & Material-Recording Clerks,44
False,True,False,False,False,False,False,False,False,False,True,False,35,21 Science & Engineering Professionals,58
False,False,False,True,False,False,True,False,False,False,False,False,36,33 Business & Administration Associate Professionals,41
False,True,False,False,False,False,False,True,False,False,False,False,38,33 Business & Administration Associate Professionals,42
False,True,False,False,False,False,True,False,False,False,False,False,43,24 Business & Administration Professionals,39
False,True,False,False,False,False,True,False,False,False,False,False,21,31 Physical & Engineering Science Associate Professionals,20
False,True,False,False,False,False,True,False,False,False,False,False,29,21 Science & Engineering Professionals,39
False,False,True,False,False,False,True,False,False,False,False,False,71,36 Teaching Associate Professionals,40
False,False,False,True,False,False,True,False,False,False,False,False,69,"11 Legislators, Senior Officials & Chief Executives",64
False,True,False,False,False,False,True,False,False,False,False,False,49,21 Science & Engineering Professionals,38
False,True,False,False,False,False,False,False,False,False,True,False,63,21 Science & Engineering Professionals,43
False,False,False,False,False,True,False,False,True,False,False,False,30,X1 - X5 Workers Not Elsewhere Classified,39
False,False,False,True,False,False,True,False,False,False,False,False,57,24 Business & Administration Professionals,28
False,True,False,False,False,False,False,False,True,False,False,False,66,91 Cleaners & Related Workers,51
False,True,False,False,False,False,True,False,False,False,False,False,66,"96 Waste Collection, Recycling & Material Recovery Workers & Other Elementary Workers",47
False,True,False,False,False,False,False,False,True,False,False,False,43,12 Administrative & Commercial Managers,47
False,True,False,False,False,False,False,True,False,False,False,False,37,74 Electrical & Electronic Trades Workers,30
False,True,False,False,False,False,False,False,False,True,False,False,26,51 Personal Service Workers,54
False,False,False,False,False,True,True,False,False,False,False,False,42,13 Production & Specialised Services Managers,25
True,False,False,False,False,False,False,False,False,True,False,False,32,24 Business & Administration Professionals,45
False,False,False,True,False,False,True,False,False,False,False,False,79,13 Production & Specialised Services Managers,61
True,False,False,False,False,False,False,False,False,False,False,True,34,21 Science & Engineering Professionals,30
False,True,False,False,False,False,True,False,False,False,False,False,49,44 Other Clerical Support Workers,34
False,False,False,False,True,False,False,False,False,True,False,False,33,24 Business & Administration Professionals,40
False,True,False,False,False,False,False,True,False,False,False,False,46,33 Business & Administration Associate Professionals,34
False,False,True,False,False,False,True,False,False,False,False,False,67,12 Administrative & Commercial Managers,24
True,False,False,False,False,False,False,False,False,True,False,False,66,41 General & Keyboard Clerks,40
False,False,True,False,False,False,False,False,False,False,False,True,58,52 Sales Workers,29
True,False,False,False,False,False,False,False,False,False,False,True,51,25 Information & Communications Technology Professionals,44
False,False,True,False,False,False,False,False,True,False,False,False,46,43 Numerical & Material-Recording Clerks,30
False,False,True,False,False,False,False,False,False,False,False,True,63,24 Business & Administration Professionals,55
False,False,False,False,True,False,False,False,False,False,False,True,27,51 Personal Service Workers,32
False,False,True,False,False,False,True,False,False,False,False,False,62,51 Personal Service Workers,36
False,True,False,False,False,False,False,True,False,False,False,False,41,24 Business & Administration Professionals,48
True,False,False,False,False,False,False,False,True,False,False,False,23,51 Personal Service Workers,27
True,False,False,False,False,False,False,False,False,False,False,True,68,"34 Legal, Social, Cultural & Related Associate Professionals",42
True,False,False,False,False,False,False,False,False,False,False,True,59,33 Business & Administration Associate Professionals,53
False,False,False,False,False,True,False,False,False,False,True,False,46,31 Physical & Engineering Science Associate Professionals,23
False,False,False,True,False,False,True,False,False,False,False,False,33,"96 Waste Collection, Recycling & Material Recovery Workers & Other Elementary Workers",41
True,False,False,False,False,False,True,False,False,False,False,False,58,31 Physical & Engineering Science Associate Professionals,42
False,True,False,False,False,False,True,False,False,False,False,False,80,13 Production & Specialised Services Managers,47
False,True,False,False,False,False,False,True,False,False,False,False,70,36 Teaching Associate Professionals,27
False,False,False,True,False,False,True,False,False,False,False,False,65,31 Physical & Engineering Science Associate Professionals,26
False,False,False,True,False,False,False,False,True,False,False,False,53,31 Physical & Engineering Science Associate Professionals,45
True,False,False,False,False,False,False,False,True,False,False,False,67,13 Production & Specialised Services Managers,42
False,True,False,False,False,False,False,False,False,True,False,False,58,31 Physical & Engineering Science Associate Professionals,42
True,False,False,False,False,False,False,False,False,False,False,True,62,21 Science & Engineering Professionals,43
True,False,False,False,False,False,True,False,False,False,False,False,71,83 Drivers & Mobile Machinery Operators,33
False,False,False,True,False,False,True,False,False,False,False,False,61,43 Numerical & Material-Recording Clerks,42
False,False,True,False,False,False,False,False,True,False,False,False,40,33 Business & Administration Associate Professionals,42
False,False,False,False,True,False,True,False,False,False,False,False,53,12 Administrative & Commercial Managers,32
True,False,False,False,False,False,False,False,True,False,False,False,18,33 Business & Administration Associate Professionals,58
True,False,False,False,False,False,True,False,False,False,False,False,55,41 General & Keyboard Clerks,44
False,False,True,False,False,False,True,False,False,False,False,False,48,54 Protective Services Workers,28
False,True,False,False,False,False,True,False,False,False,False,False,23,91 Cleaners & Related Workers,46
True,False,False,False,False,False,False,False,False,True,False,False,59,33 Business & Administration Associate Professionals,30
True,False,False,False,False,False,True,False,False,False,False,False,68,83 Drivers & Mobile Machinery Operators,47
False,False,False,False,True,False,True,False,False,False,False,False,57,74 Electrical & Electronic Trades Workers,51
False,False,False,True,False,False,False,False,False,False,True,False,46,43 Numerical & Material-Recording Clerks,31
False,True,False,False,False,False,False,False,True,False,False,False,30,83 Drivers & Mobile Machinery Operators,49
False,True,False,False,False,False,False,True,False,False,False,False,38,51 Personal Service Workers,44
False,True,False,False,False,False,False,False,True,False,False,False,33,24 Business & Administration Professionals,48
True,False,False,False,False,False,False,False,True,False,False,False,47,24 Business & Administration Professionals,58
False,True,False,False,False,False,False,False,False,False,False,True,38,51 Personal Service Workers,37
False,False,True,False,False,False,False,False,False,False,False,True,24,22 Health Professionals,32
True,False,False,False,False,False,True,False,False,False,False,False,59,13 Production & Specialised Services Managers,31
True,False,False,False,False,False,False,False,False,True,False,False,84,33 Business & Administration Associate Professionals,31
False,False,False,False,False,True,True,False,False,False,False,False,48,33 Business & Administration Associate Professionals,39
True,False,False,False,False,False,True,False,False,False,False,False,29,24 Business & Administration Professionals,43
False,True,False,False,False,False,True,False,False,False,False,False,63,X1 - X5 Workers Not Elsewhere Classified,42
False,True,False,False,False,False,False,False,False,False,True,False,18,31 Physical & Engineering Science Associate Professionals,48
False,False,False,False,True,False,False,False,True,False,False,False,33,"96 Waste Collection, Recycling & Material Recovery Workers & Other Elementary Workers",40
True,False,False,False,False,False,False,False,False,False,True,False,59,13 Production & Specialised Services Managers,54
False,True,False,False,False,False,True,False,False,False,False,False,68,"75 Food Processing, Woodworking, Garment, Leather & Other Craft & Related Trades Workers",37
False,True,False,False,False,False,True,False,False,False,False,False,36,21 Science & Engineering Professionals,67
True,False,False,False,False,False,True,False,False,False,False,False,31,23 Teaching & Training Professionals,46
False,True,False,False,False,False,False,False,False,False,True,False,33,33 Business & Administration Associate Professionals,31
True,False,False,False,False,False,True,False,False,False,False,False,81,12 Administrative & Commercial Managers,29
False,True,False,False,False,False,True,False,False,False,False,False,58,12 Administrative & Commercial Managers,44
True,False,False,False,False,False,False,False,True,False,False,False,35,24 Business & Administration Professionals,37
True,False,False,False,False,False,True,False,False,False,False,False,75,31 Physical & Engineering Science Associate Professionals,47
False,False,False,False,True,False,True,False,False,False,False,False,87,42 Customer Services Officers & Clerks,44
False,True,False,False,False,False,True,False,False,False,False,False,76,31 Physical & Engineering Science Associate Professionals,39
False,True,False,False,False,False,True,False,False,False,False,False,66,52 Sales Workers,31
False,False,False,True,False,False,False,False,False,True,False,False,57,33 Business & Administration Associate Professionals,24
False,True,False,False,False,False,False,False,False,True,False,False,44,36 Teaching Associate Professionals,35
False,True,False,False,False,False,False,False,False,True,False,False,81,24 Business & Administration Professionals,48
True,False,False,False,False,False,False,False,False,False,True,False,64,91 Cleaners & Related Workers,42
False,False,True,False,False,False,False,False,False,False,False,True,83,33 Business & Administration Associate Professionals,27
False,False,True,False,False,False,True,False,False,False,False,False,81,"96 Waste Collection, Recycling & Material Recovery Workers & Other Elementary Workers",41
False,True,False,False,False,False,False,False,False,False,True,False,54,81 Stationary Plant & Machine Operators,43
False,False,True,False,False,False,True,False,False,False,False,False,28,39 Other Associate Professionals Not Elsewhere Classified,31
False,True,False,False,False,False,False,False,True,False,False,False,49,25 Information & Communications Technology Professionals,41
False,False,False,False,False,True,True,False,False,False,False,False,31,52 Sales Workers,40
False,False,False,False,True,False,True,False,False,False,False,False,79,33 Business & Administration Associate Professionals,28
True,False,False,False,False,False,True,False,False,False,False,False,26,13 Production & Specialised Services Managers,43
False,True,False,False,False,False,False,False,False,False,True,False,47,52 Sales Workers,45
False,False,False,True,False,False,False,False,True,False,False,False,24,93 Labourers & Related Workers,50
True,False,False,False,False,False,False,True,False,False,False,False,69,43 Numerical & Material-Recording Clerks,50
True,False,False,False,False,False,True,False,False,False,False,False,47,33 Business & Administration Associate Professionals,26
False,False,False,False,False,True,True,False,False,False,False,False,76,24 Business & Administration Professionals,30
True,False,False,False,False,False,True,False,False,False,False,False,58,22 Health Professionals,45
False,False,False,False,True,False,False,False,False,True,False,False,22,24 Business & Administration Professionals,45
True,False,False,False,False,False,True,False,False,False,False,False,39,54 Protective Services Workers,45
True,False,False,False,False,False,True,False,False,False,False,False,27,"71 Building & Related Trades Workers, Excluding Electricians",78
False,True,False,False,False,False,False,False,False,True,False,False,58,21 Science & Engineering Professionals,45
True,False,False,False,False,False,False,False,False,False,True,False,29,44 Other Clerical Support Workers,51
True,False,False,False,False,False,True,False,False,False,False,False,73,"14 Hospitality, Retail & Related Services Managers",49
False,True,False,False,False,False,False,False,True,False,False,False,67,51 Personal Service Workers,46
True,False,False,False,False,False,False,False,False,False,False,True,57,23 Teaching & Training Professionals,36
False,True,False,False,False,False,True,False,False,False,False,False,37,13 Production & Specialised Services Managers,47
True,False,False,False,False,False,True,False,False,False,False,False,19,24 Business & Administration Professionals,32
True,False,False,False,False,False,False,False,False,False,True,False,65,33 Business & Administration Associate Professionals,37
False,True,False,False,False,False,False,False,False,True,False,False,65,93 Labourers & Related Workers,35
False,False,True,False,False,False,True,False,False,False,False,False,45,24 Business & Administration Professionals,40
False,True,False,False,False,False,False,False,True,False,False,False,69,52 Sales Workers,63
True,False,False,False,False,False,True,False,False,False,False,False,23,42 Customer Services Officers & Clerks,21
False,True,False,False,False,False,False,True,False,False,False,False,61,41 General & Keyboard Clerks,46
True,False,False,False,False,False,False,False,False,True,False,False,52,42 Customer Services Officers & Clerks,23
False,True,False,False,False,False,True,False,False,False,False,False,43,61 - 62 Agricultural & Fishery Workers,35
False,True,False,False,False,False,True,False,False,False,False,False,80,24 Business & Administration Professionals,50
False,True,False,False,False,False,True,False,False,False,False,False,40,21 Science & Engineering Professionals,40
False,False,False,False,True,False,True,False,False,False,False,False,72,24 Business & Administration Professionals,29
False,True,False,False,False,False,False,False,False,False,False,True,28,13 Production & Specialised Services Managers,32
False,False,True,False,False,False,False,False,False,False,False,True,31,52 Sales Workers,46
False,False,False,False,True,False,False,False,False,True,False,False,52,35 Information & Communications Technicians,32
False,True,False,False,False,False,False,False,False,True,False,False,46,41 General & Keyboard Clerks,42
False,True,False,False,False,False,True,False,False,False,False,False,40,31 Physical & Engineering Science Associate Professionals,40
False,False,False,False,False,True,False,False,False,False,False,True,36,33 Business & Administration Associate Professionals,33
True,False,False,False,False,False,True,False,False,False,False,False,76,"34 Legal, Social, Cultural & Related Associate Professionals",61
False,False,True,False,False,False,False,False,False,True,False,False,71,41 General & Keyboard Clerks,46
False,False,False,True,False,False,True,False,False,False,False,False,23,24 Business & Administration Professionals,19
False,False,False,False,True,False,False,False,False,False,False,True,39,31 Physical & Engineering Science Associate Professionals,41
False,True,False,False,False,False,True,False,False,False,False,False,65,52 Sales Workers,33
True,False,False,False,False,False,False,False,False,False,False,True,78,"96 Waste Collection, Recycling & Material Recovery Workers & Other Elementary Workers",48
False,True,False,False,False,False,True,False,False,False,False,False,46,21 Science & Engineering Professionals,32
False,False,True,False,False,False,False,False,False,True,False,False,43,"11 Legislators, Senior Officials & Chief Executives",38
True,False,False,False,False,False,True,False,False,False,False,False,69,54 Protective Services Workers,45
False,False,False,False,True,False,True,False,False,False,False,False,24,24 Business & Administration Professionals,48
True,False,False,False,False,False,True,False,False,False,False,False,67,12 Administrative & Commercial Managers,27
False,False,True,False,False,False,True,False,False,False,False,False,32,13 Production & Specialised Services Managers,36
False,True,False,False,False,False,False,False,False,True,False,False,51,24 Business & Administration Professionals,35
False,False,False,False,True,False,True,False,False,False,False,False,52,91 Cleaners & Related Workers,33
False,True,False,False,False,False,True,False,False,False,False,False,69,12 Administrative & Commercial Managers,57
False,False,False,False,False,True,True,False,False,False,False,False,28,43 Numerical & Material-Recording Clerks,44
True,False,False,False,False,False,False,False,False,False,False,True,65,33 Business & Administration Associate Professionals,27
True,False,False,False,False,False,False,False,False,False,False,True,58,25 Information & Communications Technology Professionals,49
False,False,False,False,True,False,False,False,False,False,True,False,76,83 Drivers & Mobile Machinery Operators,61
False,True,False,False,False,False,False,True,False,False,False,False,84,"96 Waste Collection, Recycling & Material Recovery Workers & Other Elementary Workers",50
False,False,False,False,True,False,True,False,False,False,False,False,55,33 Business & Administration Associate Professionals,24
False,False,False,False,True,False,True,False,False,False,False,False,38,12 Administrative & Commercial Managers,35
False,False,True,False,False,False,False,False,False,True,False,False,38,23 Teaching & Training Professionals,52
True,False,False,False,False,False,True,False,False,False,False,False,70,33 Business & Administration Associate Professionals,32
True,False,False,False,False,False,False,False,False,False,True,False,35,22 Health Professionals,44
False,False,True,False,False,False,False,True,False,False,False,False,65,25 Information & Communications Technology Professionals,47
True,False,False,False,False,False,True,False,False,False,False,False,30,51 Personal Service Workers,30
False,True,False,False,False,False,True,False,False,False,False,False,20,21 Science & Engineering Professionals,39
True,False,False,False,False,False,True,False,False,False,False,False,51,74 Electrical & Electronic Trades Workers,7
True,False,False,False,False,False,True,False,False,False,False,False,68,52 Sales Workers,29
True,False,False,False,False,False,True,False,False,False,False,False,72,"11 Legislators, Senior Officials & Chief Executives",37
False,True,False,False,False,False,False,False,False,False,False,True,86,X1 - X5 Workers Not Elsewhere Classified,27
False,False,False,False,True,False,True,False,False,False,False,False,45,43 Numerical & Material-Recording Clerks,56
False,True,False,False,False,False,True,False,False,False,False,False,41,52 Sales Workers,25
False,True,False,False,False,False,True,False,False,False,False,False,58,51 Personal Service Workers,35
True,False,False,False,False,False,False,True,False,False,False,False,31,31 Physical & Engineering Science Associate Professionals,41
False,True,False,False,False,False,True,False,False,False,False,False,61,82 Assemblers & Quality Checkers,54
False,True,False,False,False,False,False,False,True,False,False,False,77,13 Production & Specialised Services Managers,25
False,True,False,False,False,False,False,True,False,False,False,False,43,52 Sales Workers,51
False,True,False,False,False,False,False,False,True,False,False,False,22,23 Teaching & Training Professionals,40
False,True,False,False,False,False,True,False,False,False,False,False,24,12 Administrative & Commercial Managers,30
False,True,False,False,False,False,False,False,True,False,False,False,60,"26 Legal, Social, Religious & Cultural Professionals",44
True,False,False,False,False,False,True,False,False,False,False,False,71,41 General & Keyboard Clerks,41
True,False,False,False,False,False,True,False,False,False,False,False,40,43 Numerical & Material-Recording Clerks,33
False,False,False,True,False,False,False,False,False,False,False,True,33,36 Teaching Associate Professionals,40
True,False,False,False,False,False,True,False,False,False,False,False,42,83 Drivers & Mobile Machinery Operators,36
True,False,False,False,False,False,True,False,False,False,False,False,49,41 General & Keyboard Clerks,41
True,False,False,False,False,False,True,False,False,False,False,False,53,33 Business & Administration Associate Professionals,46
False,False,False,False,True,False,False,True,False,False,False,False,69,"14 Hospitality, Retail & Related Services Managers",55
True,False,False,False,False,False,True,False,False,False,False,False,26,22 Health Professionals,27
True,False,False,False,False,False,True,False,False,False,False,False,66,33 Business & Administration Associate Professionals,61
False,False,True,False,False,False,True,False,False,False,False,False,65,13 Production & Specialised Services Managers,20
False,True,False,False,False,False,False,False,False,False,True,False,62,91 Cleaners & Related Workers,38
False,True,False,False,False,False,True,False,False,False,False,False,35,33 Business & Administration Associate Professionals,45
False,False,False,False,False,True,False,False,False,True,False,False,47,41 General & Keyboard Clerks,42
False,True,False,False,False,False,True,False,False,False,False,False,62,12 Administrative & Commercial Managers,33
False,True,False,False,False,False,False,True,False,False,False,False,53,94 Food Preparation & Kitchen Assistants,37
False,True,False,False,False,False,False,False,False,False,False,True,82,13 Production & Specialised Services Managers,35
False,False,True,False,False,False,True,False,False,False,False,False,61,42 Customer Services Officers & Clerks,34
False,True,False,False,False,False,False,True,False,False,False,False,74,25 Information & Communications Technology Professionals,48
False,True,False,False,False,False,False,False,False,False,False,True,61,12 Administrative & Commercial Managers,43
False,True,False,False,False,False,True,False,False,False,False,False,65,43 Numerical & Material-Recording Clerks,33
