Id,AI declaration,Date of birth,Source of wealth salary,Source of wealth investment gain,Source of wealth inheritance,Source of wealth rental income,Source of wealth business revenue,Source of wealth other,Source of funds salary,Source of funds investment gain,Source of funds inheritance,Source of funds rental income,Source of funds business revenue,Source of funds other,Days to capital call payment,Source of capital call payment,GDP growth rate,Interest rate,default
2106,False,25.12.1965,False,False,False,False,False,Crypto holdings,False,True,False,False,True,Pension,27,Grant,10%,-7%,False
7824,True,23.11.1993,True,False,True,False,False,Royalty earnings,True,True,False,True,False,Pension,148,Gift,4%,-6%,False
3428,True,25.01.1992,False,False,False,True,False,IP ownership,True,False,True,True,True,Pension,73,Grant,6%,3%,False
2378,True,31.10.1994,False,True,True,True,False,Royalty earnings,False,True,True,False,False,Gift,16,Grant,5%,-2%,True
4701,True,11.10.1961,False,True,True,False,False,IP ownership,True,False,False,False,False,Pension,180,Grant,-9%,-9%,False
2839,True,03.12.1987,True,False,False,True,True,Royalty earnings,True,False,False,True,False,Gift,145,Grant,-7%,-3%,False
4492,False,18.02.1992,True,False,False,True,False,Crypto holdings,False,False,False,False,False,Grant,148,Grant,-8%,-4%,False
8966,False,13.08.1999,False,True,True,True,True,Royalty earnings,True,True,False,False,False,Grant,123,Pension,6%,-9%,False
2674,True,23.06.1963,False,False,False,True,False,Crypto holdings,True,True,False,True,True,Gift,88,Gift,10%,-6%,False
4539,False,05.02.1989,True,False,False,False,True,IP ownership,True,False,False,False,False,Pension,102,Gift,-10%,-8%,False
7757,True,09.06.1980,True,True,True,True,False,Crypto holdings,True,True,True,True,False,Pension,126,Gift,2%,-5%,False
2236,True,23.10.1980,False,True,False,True,True,IP ownership,False,True,False,False,True,Gift,11,Pension,-9%,0%,False
8493,True,10.04.1956,True,False,True,False,False,Crypto holdings,False,True,False,False,False,Pension,85,Pension,-2%,-2%,False
4369,False,27.09.1987,False,True,False,True,True,IP ownership,True,False,True,True,False,Gift,6,Grant,-1%,-5%,False
1830,True,24.07.1977,True,True,True,True,False,Crypto holdings,False,False,False,False,True,Pension,180,Pension,9%,-5%,False
6883,False,24.03.1967,True,True,True,False,True,Royalty earnings,False,True,False,True,True,Pension,57,Pension,4%,-1%,False
6563,True,03.04.1955,True,True,False,True,False,IP ownership,False,True,False,True,True,Grant,171,Pension,10%,1%,False
9793,False,27.02.1990,False,True,True,True,True,Crypto holdings,True,False,True,True,False,Gift,27,Gift,7%,-9%,False
4683,False,25.01.1964,False,False,False,False,True,Royalty earnings,True,True,False,False,False,Gift,162,Grant,1%,-5%,False
4442,True,14.10.1972,False,True,False,False,False,Royalty earnings,False,True,True,False,True,Gift,51,Grant,-7%,9%,True
3227,True,25.03.1979,False,True,False,False,False,Royalty earnings,False,False,False,True,True,Pension,173,Pension,6%,9%,False
1078,False,01.05.1980,True,False,False,True,False,Crypto holdings,False,True,False,True,True,Pension,76,Gift,-6%,-6%,False
8728,False,04.05.1979,True,False,False,False,False,Crypto holdings,True,True,False,False,True,Pension,140,Gift,0%,-1%,False
2968,False,13.02.1954,True,True,True,False,True,Crypto holdings,True,False,True,True,True,Pension,11,Grant,-7%,4%,False
8526,False,16.01.1986,True,False,False,True,False,IP ownership,True,False,True,True,False,Gift,109,Gift,-1%,-9%,False
2315,True,22.08.1979,True,False,True,False,False,Royalty earnings,True,True,False,False,False,Gift,112,Pension,-1%,-5%,False
9931,False,14.08.1993,True,True,False,False,False,IP ownership,False,True,True,True,True,Gift,76,Gift,1%,3%,False
1963,True,10.10.1982,False,True,True,True,True,IP ownership,False,True,False,False,True,Gift,75,Gift,-2%,-9%,False
8784,False,10.11.1955,True,True,True,False,False,Crypto holdings,False,True,True,False,True,Pension,81,Grant,-4%,-4%,True
6418,False,18.06.1985,True,False,True,True,False,Crypto holdings,False,True,True,False,False,Grant,32,Gift,-3%,-9%,False
7655,True,15.05.2000,True,True,True,True,False,Crypto holdings,False,True,True,True,True,Gift,30,Gift,10%,-1%,False
7194,True,07.02.1964,True,True,False,True,True,Royalty earnings,False,False,False,False,False,Gift,113,Grant,-10%,10%,False
9715,True,15.11.1998,False,True,True,False,False,Crypto holdings,True,False,False,True,False,Grant,162,Gift,3%,0%,False
5955,False,03.11.2003,False,True,True,True,True,Crypto holdings,False,True,True,False,True,Gift,125,Grant,5%,2%,True
9457,False,27.05.1990,False,True,True,True,True,Crypto holdings,False,True,False,False,True,Grant,101,Pension,1%,8%,False
3737,True,01.03.1990,True,False,True,False,False,IP ownership,True,True,True,True,True,Grant,152,Gift,8%,-7%,False
8061,False,26.03.1969,False,True,True,True,True,Royalty earnings,False,True,True,True,True,Gift,81,Gift,-6%,1%,False
2417,False,25.08.1988,True,True,False,False,True,Crypto holdings,False,False,True,True,True,Pension,179,Gift,-10%,3%,False
7764,True,25.03.1960,True,False,True,False,False,Royalty earnings,False,True,False,False,False,Pension,105,Pension,-1%,-5%,False
3928,False,31.12.1956,True,True,False,False,True,Crypto holdings,False,True,True,False,False,Gift,9,Pension,-8%,-4%,False
2898,True,13.08.1996,False,True,True,False,False,IP ownership,True,False,False,True,False,Grant,148,Pension,10%,2%,False
8145,True,06.12.1973,True,True,False,False,True,Royalty earnings,False,False,False,True,False,Gift,22,Gift,0%,-2%,False
8543,False,14.01.1984,True,False,True,True,True,Royalty earnings,False,True,True,False,True,Pension,48,Pension,-5%,10%,False
3271,True,30.12.1982,False,True,True,False,True,IP ownership,True,True,True,False,True,Pension,107,Grant,-7%,-5%,False
4347,False,14.04.1987,True,True,False,False,False,IP ownership,False,True,False,False,False,Gift,30,Pension,-4%,1%,False
4853,True,09.08.1998,False,False,True,False,True,IP ownership,True,True,True,False,False,Pension,55,Grant,0%,-4%,True
4100,False,05.06.1977,True,True,True,True,True,Royalty earnings,True,True,True,True,False,Pension,72,Gift,5%,-3%,False
2181,True,04.06.1985,True,False,True,False,False,Royalty earnings,True,True,True,True,False,Pension,176,Grant,5%,-3%,False
8966,False,27.05.1999,False,False,False,True,True,Royalty earnings,False,True,True,False,False,Grant,28,Grant,9%,2%,False
6626,True,18.12.1958,True,True,False,False,False,Royalty earnings,False,True,True,True,False,Pension,168,Grant,-2%,1%,False
7712,False,25.11.1970,False,True,False,True,False,Crypto holdings,False,False,False,True,True,Pension,103,Grant,8%,2%,False
6307,True,28.02.1957,False,True,False,True,True,IP ownership,False,True,True,False,False,Grant,115,Gift,-8%,-3%,False
5212,False,08.07.1962,True,False,True,False,True,Crypto holdings,False,True,False,True,False,Grant,164,Pension,1%,-1%,False
2018,False,27.08.1969,False,False,True,False,True,Crypto holdings,False,False,True,True,True,Gift,0,Pension,4%,4%,False
2457,False,01.12.1974,True,False,True,False,False,Royalty earnings,False,False,False,True,False,Gift,151,Pension,-5%,8%,False
5908,False,15.01.1975,True,False,True,True,False,IP ownership,True,True,True,True,True,Grant,89,Gift,5%,-10%,False
5480,False,14.01.1969,True,True,False,True,False,Royalty earnings,True,True,True,True,False,Gift,12,Grant,0%,-6%,False
5287,True,30.10.1976,False,False,True,True,False,Crypto holdings,True,True,False,False,False,Gift,128,Grant,2%,-4%,False
7554,True,04.11.1985,True,False,False,False,True,Crypto holdings,False,True,True,False,False,Gift,32,Gift,2%,2%,False
9161,False,12.08.1984,False,True,True,False,True,Royalty earnings,True,True,True,True,False,Gift,175,Pension,0%,-8%,False
8616,False,07.06.1976,False,False,False,False,False,Royalty earnings,False,False,True,False,True,Gift,8,Grant,9%,-10%,False
4249,True,24.03.1978,False,False,False,False,True,Crypto holdings,True,True,False,False,False,Grant,149,Gift,4%,-8%,False
4855,True,05.02.1971,False,True,False,False,False,IP ownership,True,False,False,True,False,Gift,57,Grant,-6%,-10%,False
1051,False,18.01.1985,False,True,True,True,True,IP ownership,False,True,True,True,False,Gift,170,Gift,0%,3%,False
4110,False,21.04.1969,False,False,False,False,True,Crypto holdings,False,True,False,False,False,Gift,64,Pension,-5%,-7%,False
3475,True,31.10.1976,True,True,False,True,False,IP ownership,False,False,True,True,False,Grant,86,Grant,-8%,0%,False
3370,True,06.04.1974,True,False,False,False,False,Crypto holdings,False,True,True,False,True,Grant,77,Pension,6%,-10%,False
3339,False,30.05.1991,False,True,True,True,True,Crypto holdings,True,True,True,True,False,Pension,146,Gift,-2%,-6%,False
2347,True,28.10.1989,False,False,False,True,False,IP ownership,True,True,False,False,True,Gift,47,Grant,-5%,-5%,False
